City,YearMonth,PM10,PM2.5,AQI
Ahmedabad,2015-01,0.0,0.0,0.0
Aizawl,2015-01,0.0,0.0,0.0
Amaravati,2015-01,0.0,0.0,0.0
Amritsar,2015-01,0.0,0.0,0.0
Bengaluru,2015-01,0.0,0.0,0.0
Bhopal,2015-01,0.0,0.0,0.0
Brajrajnagar,2015-01,0.0,0.0,0.0
Chandigarh,2015-01,0.0,0.0,0.0
Chennai,2015-01,0.0,0.0,0.0
Coimbatore,2015-01,0.0,0.0,0.0
Delhi,2015-01,276.97129032258067,175.69064516129032,342.2903225806452
Ernakulam,2015-01,0.0,0.0,0.0
Gurugram,2015-01,0.0,0.0,0.0
Guwahati,2015-01,0.0,0.0,0.0
Hyderabad,2015-01,0.0,0.0,0.0
Jaipur,2015-01,0.0,0.0,0.0
Jorapokhar,2015-01,0.0,0.0,0.0
Kochi,2015-01,0.0,0.0,0.0
Kolkata,2015-01,0.0,0.0,0.0
Mumbai,2015-01,0.0,0.0,0.0
Patna,2015-01,0.0,0.0,0.0
Shillong,2015-01,0.0,0.0,0.0
Talcher,2015-01,0.0,0.0,0.0
Thiruvananthapuram,2015-01,0.0,0.0,0.0
Visakhapatnam,2015-01,0.0,0.0,0.0
Ahmedabad,2015-02,0.0,0.0,0.0
Aizawl,2015-02,0.0,0.0,0.0
Amaravati,2015-02,0.0,0.0,0.0
Amritsar,2015-02,0.0,0.0,0.0
Bengaluru,2015-02,0.0,0.0,0.0
Bhopal,2015-02,0.0,0.0,0.0
Brajrajnagar,2015-02,0.0,0.0,0.0
Chandigarh,2015-02,0.0,0.0,0.0
Chennai,2015-02,0.0,0.0,0.0
Coimbatore,2015-02,0.0,0.0,0.0
Delhi,2015-02,234.93964285714287,153.9203571428571,327.92857142857144
Ernakulam,2015-02,0.0,0.0,0.0
Gurugram,2015-02,0.0,0.0,0.0
Guwahati,2015-02,0.0,0.0,0.0
Hyderabad,2015-02,0.0,0.0,0.0
Jaipur,2015-02,0.0,0.0,0.0
Jorapokhar,2015-02,0.0,0.0,0.0
Kochi,2015-02,0.0,0.0,0.0
Kolkata,2015-02,0.0,0.0,0.0
Mumbai,2015-02,0.0,0.0,0.0
Patna,2015-02,0.0,0.0,0.0
Shillong,2015-02,0.0,0.0,0.0
Talcher,2015-02,0.0,0.0,0.0
Thiruvananthapuram,2015-02,0.0,0.0,0.0
Visakhapatnam,2015-02,0.0,0.0,0.0
Ahmedabad,2015-03,0.0,0.0,0.0
Aizawl,2015-03,0.0,0.0,0.0
Amaravati,2015-03,0.0,0.0,0.0
Amritsar,2015-03,0.0,0.0,0.0
Bengaluru,2015-03,0.0,0.0,0.0
Bhopal,2015-03,0.0,0.0,0.0
Brajrajnagar,2015-03,0.0,0.0,0.0
Chandigarh,2015-03,0.0,0.0,0.0
Chennai,2015-03,0.0,0.0,0.0
Coimbatore,2015-03,0.0,0.0,0.0
Delhi,2015-03,135.04451612903227,80.33806451612904,256.06451612903226
Ernakulam,2015-03,0.0,0.0,0.0
Gurugram,2015-03,0.0,0.0,0.0
Guwahati,2015-03,0.0,0.0,0.0
Hyderabad,2015-03,0.0,0.0,0.0
Jaipur,2015-03,0.0,0.0,0.0
Jorapokhar,2015-03,0.0,0.0,0.0
Kochi,2015-03,0.0,0.0,0.0
Kolkata,2015-03,0.0,0.0,0.0
Mumbai,2015-03,0.0,0.0,0.0
Patna,2015-03,0.0,0.0,0.0
Shillong,2015-03,0.0,0.0,0.0
